assignee
Anhui Masteel Surface Technology Co., Ltd.
Prisaisen (Shandong) Biomedical Technology Co., Ltd.
Huazhong University of Science and Technology
CECEP Wanrun Co., Ltd.
Sumitomo Rubber Industries, Ltd.
Zhejiang Weilun New Materials Co., Ltd.
Liaoning Academy of Agricultural Sciences
Zhejiang Chuangyue Mining Technology Co., Ltd.
Xu Rui
Shanghai Branch of China Shipbuilding Research Center
Southern Medical University
Huawei Technologies Co., Ltd
Hebei Agricultural University
GlobalFoundries Semiconductor
Jiaxing College
Wu Jianguo
Sichuan Nanjing Construction Engineering Co., Ltd.
Zibo Shengda Water Treatment Equipment Co., Ltd.
Xiamen Qianzhao Photoelectric Co., Ltd.
Beijing Jiaotong University
Aoshicom Technology Co., Ltd.
Jinan University
Shanghai Niehan Trading Co., Ltd.
Zhongshan Onik Sanitary Ware Co., Ltd.
Shenyang Aerospace University
Shenyang Xinyuan Microelectronics Equipment Co., Ltd.
Sinopec Shanghai Petrochemical Co., Ltd.
Huizhou Haopinying Electronic Technology Co., Ltd.
aix display company technology co., ltd.
Nanjing University of Chinese Medicine
Beijing Uniconda Technology Co., Ltd.
Northwestern Polytechnical University
Huazhong University of Science and Technology
Guangzhou Zhixuan Network Technology Co., Ltd.
Fuzhou Changle District Huizhi Technology Service Co., Ltd.
Midea Group Co., Ltd.
jack sewing machine co., ltd.
Nan'an Yueqi Machinery Trading Co., Ltd.
Geely Sichuan Commercial Vehicle Co., Ltd.
Shenzhen Ounai New Materials Co., Ltd.
Beijing Hanmei Pharmaceutical Co., Ltd.
Jilin University of Architecture
Samsung Electronics Co., Ltd.
TCL Huaxing Optoelectronics Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Huazhong University of Science and Technology
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Gansu Northwest Zhiguang Cable Co., Ltd.
Taizhou Jiji Intellectual Property Operation Co., Ltd.
Beijing Ouchain Technology Co., Ltd.
Aviation Industry Corporation of China Xi'an Institute of Aeronautical Computing Technology
Jiashan Hangyun Plate Making Co., Ltd.
Foshan Jindian Technology Co., Ltd.
Zhejiang University of Technology
Wuxi Yikai Automation Technology Co., Ltd.
Xi'an Institute of Microelectronics Technology
People's Bank of China Digital Currency Research Institute
Hydropower 13th Bureau Tianjin Survey and Design Research Institute Co., Ltd.
Zhejiang University of Technology
Suez International
Huawei Technologies Co., Ltd
Qingdao Chenfeng Intelligent Equipment Co., Ltd.
Shandong Normal University
Shenzhen Oruibo Technology Co., Ltd.
Fushun Petrochemical Research Institute, China Petroleum & Chemical Corporation
New H3C Technology Co., Ltd.
Shanghai University of Applied Sciences
Ray Search Laboratories
DSM Intellectual Property Asset Management Ltd.
Beijing Jingdong Century Trading Co., Ltd.
Shilian Power Information Technology Co., Ltd.
Fujian Xingwang Smart Technology Co., Ltd.
North China Electric Power University
Northeast Agricultural University
Tianrui Group Ruzhou Cement Co., Ltd.
LG Display Co., Ltd.
Anhui Province Linquan Wanlong Plastic Packaging Co., Ltd.
ZTE Corporation
Zhuhai Gree Electric Appliances Co., Ltd.
Zhejiang Mingchun Textile Co., Ltd.
Zhejiang Jimaike Microelectronics Co., Ltd.
Wuhan University of Science and Technology
Tianjin University
Jia Qingcen
STMicroelectronics (tours)
Qingdao Bond Chemical Co., Ltd.
Shanghai Urban Construction Industry Group New Building Materials Jiaxing Co., Ltd.
Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences
Taiyuan University of Technology
Huawei Technologies Co., Ltd
Foshan Nanhai Chongde Knitting Socks Co., Ltd.
Go Out and Ask Information Technology Co., Ltd.
Shenzhen Jingwang Electronics Co., Ltd.
Shram LLC
Shenzhen Yida Culture Media Co., Ltd.
Renesas Electronics Corporation
Xiamen Tianma Microelectronics Co., Ltd.
Shenzhen Qianhai WeBank Co., Ltd.
South Central University for Nationalities
Honghuasheng Precision Electronics (Yantai) Co., Ltd.
Shanghai Institute of Aerospace Systems Engineering
South China Agricultural University
Huawei Technologies Co., Ltd
Beijing Qihoo Technology Co., Ltd.
Chen Shujie
Huawei Technologies Co., Ltd
Anhui Jinjiang Architectural Planning and Design Co., Ltd.
Zhejiang Zhongnan Construction Group Steel Structure Co., Ltd.
Tangshan Boschide Medical Equipment Co., Ltd.
Sogang University Industry-University Cooperation Team
Yantai Engineering Vocational and Technical College
Guangzhou Yuncong Kaifeng Technology Co., Ltd.
Zhijiang Yuheng Textile Co., Ltd.
Beijing Institute of Control Engineering
Dongguan Institute of Technology
Anhui Huichuan Management Consulting Co., Ltd.
Yuyao Risheng Environmental Protection Technology Co., Ltd.
Sichuan Jinruisui Technology Co., Ltd.
Jiangsu Hengli Chemical Fiber Co., Ltd.
China Petroleum & Chemical Corporation Petrochemical Research Institute
Yamaha Corporation
Guangzhou Xiaopeng Automobile Technology Co., Ltd.
Fabey (Shanghai) Automation Technology Co., Ltd.
Jiangsu Hehai Water Supply and Drainage Complete Equipment Co., Ltd.
Jiangxi Cunwa Industrial Co., Ltd.
Guangxi University
Qingdao Hisense Broadband Multimedia Technology Co., Ltd.
Bengbu College
Zhang Yifei
Huawei Technologies Co., Ltd
Ningbo High-tech Zone Shentaide Machinery Equipment Co., Ltd.
Hangzhou Xianzhi Biotechnology Co., Ltd.
Shaoxing Keqiao Zhengquan Textile Co., Ltd.
Fujian Jinjiang Self-tapping Screw Co., Ltd.
Coal Science Group Hangzhou Environmental Protection Research Institute Co., Ltd.
Jiangsu Aoyang Ecological Garden Co., Ltd.
Guangxi Medical University Affiliated Cancer Hospital
First Institute of Oceanography, Ministry of Natural Resources
Lu Tanying
TOTO Corporation
Zixi County Yunmingxiang Tea Co., Ltd.
Changzhou Haoan Biotechnology Co., Ltd.
Alipay (Hangzhou) Information Technology Co., Ltd.
Shandong Tianzhi Information Technology Co., Ltd.
Yichang Gaoqiu Optoelectronics Co., Ltd.
Southeast University
Vivo Mobile Communication Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Nanjing Bailing Intelligent Equipment Technology Co., Ltd.
Jiangsu Hengli Chemical Fiber Co., Ltd.
Zhejiang University
Tetra Laval Group & Finance Ltd.
Changsha Shandao New Material Technology Co., Ltd.
Tsinghua University
Fujifilm Co., Ltd.
Huazhong University of Science and Technology
Tianjin Ruixin Shengshi Technology Co., Ltd.
Ye Kequan
Fuzhou Divi Trading Co., Ltd.
Foshan Meishida Toys Co., Ltd.
Nanjing Lingque Intelligent Manufacturing Co., Ltd.
Shenzhen Heertai Intelligent Control Co., Ltd.
Guangdong Jubaowu Media Co., Ltd.
Hangzhou Yinhu Electric Equipment Co., Ltd.
Shenzhen Baoan Hospital of Traditional Chinese Medicine (Group)
Taizhou College
Dalian Jiaotong University
Hefei University of Technology
Zhangjiagang Guotai Huarong Chemical New Material Co., Ltd.
Ningde Times New Energy Technology Co., Ltd.
Qingshang (Suzhou) Environmental Technology Co., Ltd.
Qingdao Haier Front Drum Washing Machine Co., Ltd.
Nanjing Chuangyuan Tiandi Power Technology Co., Ltd.
Spreadtrum Communications (Shanghai) Co., Ltd.
Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences
Samsung Electronics Co., Ltd.
Dongguan Institute of Technology
Nantong Advanced Communication Technology Research Institute Co., Ltd.
Hubei Guochuang High-tech Materials Co., Ltd.
Suqian College
Luobahan Precision Machinery (Suzhou) Co., Ltd.
Xiao Ximei
Huaihua College
Institute of Telecommunications Science and Technology
Beijing Institute of Technology
Ping An Technology (Shenzhen) Co., Ltd.
BOE Technology Group Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Shandong Huaguang Optoelectronics Co., Ltd.
Samsung Electronics Co., Ltd.
Samsung Electronics Co., Ltd.
Fujian Guangrun Energy Saving Technology Co., Ltd.
Hettich -Heinze GmbH & Co. KG
Maanshan Lier Kaiyuan New Material Co., Ltd.
Chen Ning
Donghua University
Chengdu Technician College
Suzhou Leduo Machinery Co., Ltd.
Fujian Mawei Shipbuilding Co., Ltd.
Qizhi Software (Beijing) Co., Ltd.
Xiangtan University
Anhui Xinda Home Furnishing Co., Ltd.
Beijing Institute of Aerospace Control Instruments
Siemens AG
Institute of Hydrobiology, Chinese Academy of Sciences
Nanjing Jingweixun Intelligent Technology Co., Ltd.
International Bamboo and Rattan Center
Nan'an Ruifang Machinery Technology Co., Ltd.
China United Network Communications Group Co., Ltd.
Shandong Pharmaceutical and Food Vocational College
Guangrui Hengyu (Beijing) Technology Co., Ltd.
Jiangsu Jinyang Machinery Co., Ltd.
Zhengzhou Taiji Hongnuo Pharmaceutical Co., Ltd.
SMIC New Technology Development (Shanghai) Co., Ltd.
Foshan Shunde Midea Electric Heating Appliance Manufacturing Co., Ltd.
Tsinghua University
Guangdong Xiaobailong Animation Culture Co., Ltd.
Xi'an University of Architecture and Technology
Ma'anshan Leishi Rail Transit Equipment Co., Ltd.
Foshan Shunde Midea Electric Heating Appliance Manufacturing Co., Ltd.
Xiangtan University
Yantai Jietong Water Treatment Technology Co., Ltd.
CSSC (Chongqing) Southwest Equipment Research Institute Co., Ltd.
Tranqi (Xiamen) Technology Co., Ltd.
Hefei Guoke Tianxun Technology Co., Ltd.
Affiliated Hospital of Nantong University
Shanghai Microsatellite Engineering Center
Huawei Technologies Co., Ltd
Zhejiang Agriculture and Forestry University Jiyang College
Huawei Technologies Co., Ltd
Zhejiang Huanlong Environmental Technology Co., Ltd.
Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences
Ziyue Optoelectronics (Shenzhen) Co., Ltd.
Zhejiang University of Technology
Jiangsu Boda Environmental Protection Co., Ltd.
Guilin Runtai Biotechnology Co., Ltd.
Southwest University
Yuan Andong
Rizhao Yiming Technology Service Co., Ltd.
Chen Ju
Shanghai Tianma Microelectronics Co., Ltd.
Beihang University
Baotou Railway Vocational and Technical College
Tencent Technology (Shenzhen) Co., Ltd.
F. Postolek
Tsinghua University
Dongguan Juncheng Coating Dust Removal Equipment Co., Ltd.
Wang Yizheng
Shandong Yaohua Tenai Technology Co., Ltd.
Sharp Corporation
Shanghai Langbo Communication Technology Co., Ltd.
Xi'an Jiaotong University
Spreadtrum Communications (Shanghai) Co., Ltd.
Beijing Xiaomi Mobile Software Co., Ltd.
Unit 32802 of the Chinese People's Liberation Army
Intuitive Surgical Operations Inc.
Hainan AVIC Special Glass Technology Co., Ltd.
Anhui Yinsheng Welding Materials Co., Ltd.
China Mobile Communications Corporation
Kunshan Guoxian Optoelectronics Co., Ltd.
Haining Huaxin Oil Co., Ltd.
University of Science and Technology of China
Qingdao Songliang Gene Technology Co., Ltd.
Zhejiang Tsinghua Institute of Flexible Electronics Technology
Institute of Bioengineering, Academy of Military Medical Sciences, Chinese People's Liberation Army
Shanghai Nanlin Electronics Co., Ltd.
Changshu Institute of Technology
Wuhan University
Weekly
Qi Shaocheng
Shandong Haipuou Environmental Protection Equipment Technology Co., Ltd.
Jiangsu Kangyuan Pharmaceutical Co., Ltd.
Anshan Iron and Steel Co., Ltd.
Zhejiang Jinguo Intellectual Property Co., Ltd.
Nanjing Mingdiao CNC Technology Co., Ltd.
Hebei University of Technology
Xi hua University
CRSC Rail Vehicle Co., Ltd.
Taizhou Yingfeng Plastic Mould Co., Ltd.
Huawei Technologies Co., Ltd
LG Display Co., Ltd.
Suzhou University of Science and Technology
Institute of Telecommunications Science and Technology
BioPlatt
Li Hao
Wuhan Tianwen Biotechnology Co., Ltd.
Beijing Quanlu Communication Signal Research and Design Institute Group Co., Ltd.
Yancheng Institute of Environmental Technology and Engineering, Nanjing University
Institute of Germplasm Resources, Ningxia Academy of Agriculture and Forestry (Ningxia Facility Agricultural Engineering Technology Research Center)
Fang Yong
Shanghai Chuangmi Technology Co., Ltd.
CNOOC Changzhou Environmental Coatings Co., Ltd.
Farmac
Dow Corning
Nanjing Golden Lemon Electronic Technology Co., Ltd.
University of Electronic Science and Technology of China
Mianyang Normal University
Shanghai Future Broadband Technology Co., Ltd.
Hangzhou Deep Technology Co., Ltd.
Zhenjiang Rihui Electric Tool Accessories Co., Ltd.
Wangsu Technology Co., Ltd.
Qiantong Environmental Technology (Suzhou) Co., Ltd.
Hangzhou Xiaotu Technology Co., Ltd.
Guiyang Animal Disease Prevention and Control Center
Rizhao Modern Furniture Co., Ltd.
Qingdao University of Science and Technology
State Grid Corporation of China
Hefei Jietong Environmental Technology Co., Ltd.
Guo Xiaojie
NetEase (Hangzhou) Network Co., Ltd.
China Flight Test Research Institute
Tencent Technology (Shenzhen) Co., Ltd.
Micro Whale Technology Co., Ltd.
Shenzhen DJI Innovation Technology Co., Ltd.
Guangzhou Jiesheng Chemical Co., Ltd.
Suzhou Yihuang Metal Products Co., Ltd.
Qiku Internet Technology (Shenzhen) Co., Ltd.
Wilmar (Shanghai) Biotechnology R&D Center Co., Ltd.
Yunnan Agricultural University
Anhui Huachuang Environmental Protection Equipment Technology Co., Ltd.
Beijing Kerui Huaan Technology Co., Ltd.
Changshu Institute of Technology
Henan Audemars Piguet Aihe New Materials Co., Ltd.
Capital medical university
witternstein europe ag
China 20th Metallurgical Group Co., Ltd.
Guangdong Transportation Vocational and Technical College
Lishui Jingrui Bearing Manufacturing Co., Ltd.
Zhuhai Youte Smart Kitchen Technology Co., Ltd.
Yantai Aidi Precision Machinery Co., Ltd.
Shandong Normal University
Baosteel Desheng Stainless Steel Co., Ltd.
Ruian Donghuang Hardware Co., Ltd.
Nanjing Yonglong Pharmaceutical Equipment Co., Ltd.
East China University of Science and Technology
Beijing University of Posts and Telecommunications Shenzhen Research Institute
Longsi (Shanghai) New Material Technology Co., Ltd.
Alipay (Hangzhou) Information Technology Co., Ltd.
Jiangsu Future Network Innovation Research Institute
Taizhou Sunsia Diamond Equipment Co., Ltd.
Fuzhou Shenglilai Tourism Products Co., Ltd.
Qingdao Junxin Mould Co., Ltd.
Huawei Technologies Co., Ltd
Shiyan Yunyang District Elu Starch Products Co., Ltd.
Institute of Marine Instrumentation, Shandong Academy of Sciences
Shanghai Hehui Optoelectronics Co., Ltd.
BMW AG
Ningbo Gaoyun Electric Power Technology Co., Ltd.
Shanghai Zhiyin Automation Technology Co., Ltd.
Truly Semiconductor Co., Ltd.
Guoyang Xinjia Machinery Equipment Manufacturing Co., Ltd.
Hubei New Lantian New Materials Co., Ltd.
Baidu (USA) LLC
Toyota Motor Corporation
Shaanxi Microtech Technology Co., Ltd.
Sekisui Chemical Industry Co., Ltd.
CECEP (Putian) Renewable Resources Utilization Co., Ltd.
Juxian People's Hospital
Jieaixi (Shanghai) Energy Conservation and Environmental Protection Engineering Co., Ltd.
Hunan University
Minjiang University
Beijing Beixinyuan Software Co., Ltd.
Fuyang Yangjietao Agricultural Technology Co., Ltd.
Chengdu Aituxiang Technology Co., Ltd.
Shanghai Huali Microelectronics Co., Ltd.
Zhejiang University
Suzhou Pinrun Metal Products Co., Ltd.
borillis ag
Shenzhen Huachengfeng Technology Co., Ltd.
Anhui Jianghuai Automobile Group Co., Ltd.
Beijing Sankuai Online Technology Co., Ltd.
Shandong Yihang Brake Technology Co., Ltd.
Minben Machinery (Zhejiang) Co., Ltd.
Fujian Datang International Ningde Power Generation Co., Ltd.
Zhou Dan
Purcell Network Co., Ltd.
Suzhou Inspur Intelligent Technology Co., Ltd.
Hefei Jinghe Integrated Circuit Co., Ltd.
China United Network Communications Group Co., Ltd.
Jinan Universty
Qualcomm Incorporated
Sichuan Changhong Electric Co., Ltd.
Guangdong Baishengtu Technology Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
University of Electronic Science and Technology of China
Huawei Technologies Co., Ltd
Nanjing University of Posts and Telecommunications
Chongqing Changan New Energy Vehicle Technology Co., Ltd.
Hunan Jingyi Ecological Technology Co., Ltd.
Huian Nuomandi Technology Co., Ltd.
Jinan Universty
Shandong Wanda Chemical Co., Ltd.
Antai Technology Co., Ltd.
Keruiou Medical Co., Ltd.
Li Tongtong
Alipay (Hangzhou) Information Technology Co., Ltd.
Geke Microelectronics (Shanghai) Co., Ltd.
Huawei Technologies Co., Ltd
Nanchang Institute of Technology
Anhui University of Science and Technology
Nippon Steel Corporation
CRRC Zhuzhou Electric Locomotive Co., Ltd.
Guizhou Yibai Pharmaceutical Co., Ltd.
Shenzhen New Greennet Communication Technology Co., Ltd.
Nanjing Forestry University
Nantong university
China Agricultural University
Shenzhen Power Supply Bureau Co., Ltd.
Wu Bin
Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences
Shenzhen Mituo IOT Information Technology Co., Ltd.
SanDisk Information Technology (Shanghai) Co., Ltd.
Dongguan Suifeng Grain Group Co., Ltd.
Longyan Xiner Technology Co., Ltd.
Guangzhou Gionee Electronics Co., Ltd.
Anhui Dexinyuan Food Co., Ltd.
Zhuji Haidao Machinery Co., Ltd.
DIC Corporation
China Optoelectronics Intelligent Sensing Co., Ltd.
LG Display Co., Ltd.
Ningbo Wenze Textile Co., Ltd.
Guangzhou Xinke Jiadu Technology Co., Ltd.
National Nanoscience Center
Zhejiang University
Maxim Integrated Products
Nanjing Iron and Steel Co., Ltd.
BROAD SCHROME CHILD SAFETY CO., LTD.
Yungu (Gu'an) Technology Co., Ltd.
Cangnan County Traffic Construction Engineering Co., Ltd.
Bengbu Medical College
Dalian Aiwoter Robot Technology Co., Ltd.
PSA Peugeot Citroen SA
Sichuan Changhong Electric Co., Ltd.
Mongolia Industrial University
Guangzhou Votu Automation Technology Co., Ltd.
Nankai University
Zhejiang University of Technology
Qualcomm Incorporated
Northeastern University
Shenzhen Huake Intelligent Information Co., Ltd.
Zijin Mining Group Co., Ltd.
alcatel lucent
Shaoxing Ranyi Nonwoven Co., Ltd.
Xia Liru
Wuhan University of Technology
Nanjing Audit University
Wang Fang
Institute of Genetics and Developmental Biology, Chinese Academy of Sciences
Shandong Junnuo Pipeline Co., Ltd.
BOE Technology Group Co., Ltd.
Beijing Institute of Environmental Characteristics
BOE Technology Group Co., Ltd.
Nanjing Forestry University
Northern University for Nationalities
Shanghai Langbo Communication Technology Co., Ltd.
ADVICS Co., Ltd.
China Railway Design Group Co., Ltd.
Hot View (Langfang) Biotechnology Co., Ltd.
LG Chem Co., Ltd.
Beijing Xibei Wanjia Catering Management Co., Ltd.
Arconic Technology LLC
Nokia Communications
Hangzhou Hikvision Digital Technology Co., Ltd.
Anhui Electromechanical Vocational and Technical College
Wenzhou Bowang Lianke Construction Engineering Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Jiangmen Liu Guohai Intelligent Technology Co., Ltd.
Changzhou Shangke New Material Co., Ltd.
Qilu University of Technology
Shanghai Shenqi Medical Technology Co., Ltd.
China United Network Communications Group Co., Ltd.
Huizhou Akihabara Copper Development Co., Ltd.
Zhejiang Normal University
Zhengzhou Vocational and Technical College
Shenzhen Galaxy Fengyun Network System Co., Ltd.
Optipolbo Ventures Ltd
Jia Xiaoran
Niu Chuan Meng
Anhui Zhengyu Flour Co., Ltd.
Anhui Jiayuan Oil Co., Ltd.
Zige Educational Robot (Shenzhen) Co., Ltd.
Qihe County Vocational Secondary School (Qihe County Technical School)
Shamu (Shanghai) Biotechnology Co., Ltd.
Honeycomb Energy Technology Co., Ltd.
Anhui Feilong New Material Co., Ltd.
Huacan Optoelectronics (Zhejiang) Co., Ltd.
Zhejiang Lege Intelligent Drive Technology Co., Ltd.
Blue Arrow Aerospace Technology Co., Ltd.
Tianjin University of Commerce
Suzhou Samsung Display Co., Ltd.
Beijing Mining and Metallurgy Technology Group Co., Ltd.
Shanghai AVIC Optoelectronics Co., Ltd.
Shanxi Normal University
Jiangsu Feilistone Information Technology Co., Ltd.
Changshu Institute of Technology
LG Electronics Co., Ltd.
Hubei University
Southwest University
Jiangxi Oulida Industrial Co., Ltd.
Beijing Huiqing Technology Co., Ltd.
Lesao Integrated Home Furnishing Co., Ltd.
Yanshan University
China International Marine Containers (Group) Co., Ltd.
Shenzhen Zhilian IOT Technology Co., Ltd.
Guangzhou Sate Infrared Co., Ltd.
Suzhou University
Northeast Electric Power University
Anhui Cambrian Information Technology Co., Ltd.
Su Lichen
Shanghai Gaochuan Electronic Technology Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Anhui Shuangying Textile Co., Ltd.
Guangdong Fine Indium Marine Engineering Innovation Research Co., Ltd.
Seiko Epson Corporation
Jiangsu Shibang Bioengineering Technology Co., Ltd.
Mitsubishi Pencil Co., Ltd.
Xie Xiuying
Ericsson Sweden Ltd.
Beijing BOE Optoelectronics Technology Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Hebei Dingjia Energy Technology Co., Ltd.
Jiangsu Hengli Chemical Fiber Co., Ltd.
Northeastern University
Shaoxing Yuecheng Yuemu Furniture Factory
Huawei Technologies Co., Ltd
Trane Air Conditioning Systems (China) Co., Ltd.
Bo Hai university
Shenzhen Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Xuzhou Fengtong Information Technology Co., Ltd.
Qualcomm Incorporated
Taiyuan University of Technology
Wuhan Tianhe Technology Co., Ltd.
Qinghai Academy of Agriculture and Forestry
Guangdong Pharmaceutical University
Zhejiang University
Nilia
Xi'an Aero Brake Technology Co., Ltd.
Beihang University
Schaeffler Technik GmbH & Co. KG
State Grid Corporation of China
BYD Co., Ltd.
Zhejiang Qibo Intellectual Property Operation Co., Ltd.
Henan Jingrun Environmental Technology Co., Ltd.
Shi Xinyao
Hunan University of Traditional Chinese Medicine
North Central University
Wang Haiyan
UT Starcom Communication Co., Ltd.
Sichuan Institute of Technology
Changzhou University
Changzhou Dalian University of Technology Intelligent Equipment Research Institute
Zhejiang Supor Home Appliance Manufacturing Co., Ltd.
East China University of Science and Technology
Sipin Precision Industry Co., Ltd.
An Guangyu
Tencent Technology (Shenzhen) Co., Ltd.
Shanghai Huali Microelectronics Co., Ltd.
Hebei Huate Auto Parts Co., Ltd.
CECEP Wanrun Co., Ltd.
Central South University
OPPO Guangdong Mobile Communication Co., Ltd.
An-Hui Engineering University
Jiangxi Normal University
Hunan Zhongyi Lihua Information Technology Co., Ltd.
Hangzhou Hikvision Digital Technology Co., Ltd.
Shan Dong University
Huawei Technologies Co., Ltd
Xidian University
Suzhou Leitai Medical Technology Co., Ltd.
Dingxi Animal Husbandry and Veterinary Bureau
Nanjing Feilin Aircraft Electric Co., Ltd.
Wuxi Pilot Intelligent Equipment Co., Ltd.
Guangdong Little Talent Technology Co., Ltd.
Hefei Xinsheng Photoelectric Technology Co., Ltd.
3M Innovation Ltd.
Beijing Baidu Netcom Technology Co., Ltd.
AVIC Beijing Institute of Aeronautical Materials
Guizhou Institute of Engineering Application Technology
Alibaba (China) Co., Ltd.
Anhui University of Science and Technology
Spreadtrum Communications (Shanghai) Co., Ltd.
Nanjing University of Technology
Shenzhen Ant Zero Beast Technology Co., Ltd.
Northeast Electric Power University
Yushiwang Electric Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Wanxi College
volkswagen gmbh
Yajie Technology (Jiangsu) Co., Ltd.
Yichang Huizheng Environmental Protection Engineering Co., Ltd.
BASF Coatings Ltd.
Chongqing Hehang Technology Co., Ltd.
Nan'an Xincan Brand Operation Co., Ltd.
Guangdong Yueneng Electric Power Co., Ltd.
Shi Lijun
Henan University of Technology
Fujian Shikerui Medical Technology Co., Ltd.
Wuyi Wanbo Plastic Industry Co., Ltd.
Apple
Jiangsu Noyituo Environmental Engineering Co., Ltd.
Wuxi Little Swan Electric Co., Ltd.
Research Institute of China Shipbuilding Industry Corporation
Hangzhou Hejin Clothing Co., Ltd.
Fuzhou University
Honda Giken Industry Co., Ltd.
Guangdong Zhicheng Champion Group Co., Ltd.
Institute of Genetics and Developmental Biology, Chinese Academy of Sciences
Zhejiang Jianfeng Pharmaceutical Co., Ltd.
Institute of Sericulture and Agricultural Products Processing, Guangdong Academy of Agricultural Sciences
University of Electronic Science and Technology of China
Wenzhou Optometry Development Co., Ltd.
Zhejiang University
general elevator co., ltd.
Dow Global Technologies LLC
Tsinghua University
Jiangxi Shanna New Material Technology Co., Ltd.
Beijing Aerospace Measurement and Control Technology Co., Ltd.
University of Macau
University of Electronic Science and Technology of China
China Academy of Launch Vehicle Technology
PLA Army Engineering University
Wuhan University
Beijing Huayao Technology Co., Ltd.
Zhejiang Institute of Water Conservancy and Hydropower
Hanrunte Environmental Protection Equipment (Jiangsu) Co., Ltd.
Xiangshan Qiu Gonglian Information Technology Co., Ltd.
Zhou Linan
BOE Technology Group Co., Ltd.
Wenling Junma Food Co., Ltd.
LG Electronics Co., Ltd.
State Grid Corporation of China
Zhejiang Tsinghua Institute of Flexible Electronics Technology
Ordos Purdue Technology Co., Ltd.
Qualcomm Incorporated
Ed Brothers (Beijing) Electromechanical Engineering Co., Ltd.
Tianjin Bishuiyuan Membrane Material Co., Ltd.
Disha Pharmaceutical Group Co., Ltd.
Ningbo Pharmacy Old Street Traditional Chinese Medicine Culture Co., Ltd.
Liang Dequn
Tianma Microelectronics Co., Ltd.
Wujiang Transformer Co., Ltd.
Hangzhou Leshou Technology Co., Ltd.
Inner Mongolia Autonomous Region Mongolian Medicine Research Institute
tney medical ag
truphon gmbh
Liu Xunqiang
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Zhejiang Institute of Water Conservancy and Hydropower
Jiangsu Runqi Project Management Co., Ltd.
Zhejiang Shaoxing Supor Life Electric Co., Ltd.
Guangzhou Huaxinke Intelligent Manufacturing Technology Co., Ltd.
Machine Light Technology Co., Ltd.
China General Nuclear Power Co., Ltd.
Samsung Electronics Co., Ltd.
Shenzhen Qihoo Intelligent Technology Co., Ltd.
Ericsson Sweden Ltd.
Zhejiang University
Beijing Institute of Satellite Information Engineering
Beihang University
Shenzhen Guanxu Electronics Co., Ltd.
Zhengzhou Fruit Tree Research Institute, Chinese Academy of Agricultural Sciences
South China Agricultural University
Huawei Technologies Co., Ltd
Rice Research Institute, Anhui Academy of Agricultural Sciences
Toppan Printing Co., Ltd.
Yue Deling
Shanghai Tianma Microelectronics Co., Ltd.
Ningbo Yinzhou Delight Technology Co., Ltd.
Zhang Boran
Anhui University
Huawei Technologies Co., Ltd
Zhejiang Institute of Water Conservancy and Hydropower
Jinhua Youzheng Technology Co., Ltd.
Donghua University
three-dimensional communication co., ltd.
Tianjin Steel Research Hyde Technology Co., Ltd.
Tianjin University
Garys Asima Corporation (under the name of Olympus American Surgical Technology)
Jiaxing New Guoco Jet Weaving Co., Ltd.
Micron Technology
Yang Fulan
Wuhan Tianma Microelectronics Co., Ltd.
Baidu Online Network Technology (Beijing) Co., Ltd.
Yunnan Yiqing Environmental Technology Co., Ltd.
Zhao Yunqi
Hubei Shengtong Sihai Agricultural Development Co., Ltd.
Changshu Institute of Technology
Guangzhou Shunjian Biomedical Technology Co., Ltd.
Wuhan Fangu Electronic Technology Co., Ltd.
Institute of Genetics and Developmental Biology, Chinese Academy of Sciences
Shanghai Jiaotong University
Laser Fusion Research Center, Chinese Academy of Engineering Physics
Chengdu CNBM Photoelectric Materials Co., Ltd.
Wuxi Nao Biopharmaceutical Co., Ltd.
Shaoxing Vocational and Technical College
Zhou Zilong
Qinghai Subsilicon Material Engineering Technology Co., Ltd.
Shenzhen Smart Clothing Technology Co., Ltd.
Chongqing University of Posts and Telecommunications
Ouguan Valve Technology Co., Ltd.
Zhejiang Industry and Trade Vocational and Technical College
Xuchang University
China Academy of Surveying and Mapping
Tea Research Institute, Chinese Academy of Agricultural Sciences
Dai Qingtao
Institute of Metal Research, Chinese Academy of Sciences
Institute of Crop Science, Chinese Academy of Agricultural Sciences
Suzhou Huicheng Xintong Internet of Things Technology Co., Ltd.
Beijing University of Chemical Technology
